name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Little Rock,Arkansas,34.746,-92.289,2025-08-10,95.4,77.7,13.0,0.0,57,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-11,92.7,77.0,6.9,0.0,68,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-12,94.8,79.2,10.1,0.31,64,204774
Santa Fe,New Mexico,35.687,-105.937,2025-08-06,84.7,61.2,20.1,0.0,26,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-07,87.4,61.2,15.2,0.0,29,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-08,86.7,60.1,16.8,0.0,31,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-09,87.3,63.3,19.7,0.0,22,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-10,83.8,61.9,13.4,0.0,23,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-11,77.0,53.1,11.9,0.0,65,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-12,74.1,52.0,17.7,0.15,63,90551
Baton Rouge,Louisiana,30.451,-91.154,2025-08-06,93.2,75.7,4.9,0.17,76,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-07,90.7,75.4,5.1,0.0,77,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-08,92.8,76.5,6.5,0.14,78,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-09,89.2,76.8,9.4,0.19,78,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-10,88.0,76.6,8.5,0.19,79,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-11,90.9,77.2,6.7,0.0,77,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-12,89.1,78.4,11.0,0.24,80,220907
Indianapolis,Indiana,39.768,-86.158,2025-08-06,86.4,66.7,4.3,0.0,79,891484
Indianapolis,Indiana,39.768,-86.158,2025-08-07,84.7,65.7,5.1,0.0,80,891484
Indianapolis,Indiana,39.768,-86.158,2025-08-08,85.5,72.5,5.6,0.0,78,891484
Indianapolis,Indiana,39.768,-86.158,2025-08-09,89.2,71.2,9.2,0.0,76,891484
Indianapolis,Indiana,39.768,-86.158,2025-08-10,87.6,70.2,8.3,0.0,76,891484
Indianapolis,Indiana,39.768,-86.158,2025-08-11,88.7,72.1,7.8,0.0,74,891484
Indianapolis,Indiana,39.768,-86.158,2025-08-12,89.2,72.0,9.2,0.08,76,891484
Montpelier,Vermont,44.26,-72.576,2025-08-06,72.0,59.2,4.7,0.0,81,7915
