name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Dover,Delaware,39.158,-75.525,2025-08-04,85.3,66.7,9.8,0.0,69,40191
Dover,Delaware,39.158,-75.525,2025-08-05,77.7,67.6,8.9,0.0,74,40191
Dover,Delaware,39.158,-75.525,2025-08-06,76.1,70.9,12.1,0.0,82,40191
Dover,Delaware,39.158,-75.525,2025-08-07,72.3,70.3,15.9,0.0,82,40191
Dover,Delaware,39.158,-75.525,2025-08-08,75.2,67.1,13.9,0.0,75,40191
Dover,Delaware,39.158,-75.525,2025-08-09,79.3,66.9,9.6,0.0,73,40191
Raleigh,North Carolina,35.772,-78.639,2025-08-03,83.5,65.7,13.9,0.0,67,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-04,81.7,66.0,10.7,0.0,67,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-05,75.0,68.7,7.6,0.16,81,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-06,78.8,71.8,7.8,0.0,80,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-07,76.8,67.6,11.0,0.0,88,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-08,75.0,67.8,12.3,0.46,91,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-09,85.5,70.7,8.3,0.0,81,499825
Annapolis,Maryland,38.978,-76.493,2025-08-03,82.6,72.5,9.8,0.0,60,40689
Annapolis,Maryland,38.978,-76.493,2025-08-04,86.2,71.6,8.5,0.0,63,40689
Annapolis,Maryland,38.978,-76.493,2025-08-05,79.7,74.1,10.1,0.0,66,40689
Annapolis,Maryland,38.978,-76.493,2025-08-06,78.6,73.2,14.3,0.0,74,40689
Annapolis,Maryland,38.978,-76.493,2025-08-07,73.2,70.9,14.3,0.0,80,40689
Annapolis,Maryland,38.978,-76.493,2025-08-08,75.9,69.4,12.1,0.0,76,40689
Annapolis,Maryland,38.978,-76.493,2025-08-09,81.3,69.6,8.3,0.0,67,40689
Olympia,Washington,47.038,-122.899,2025-08-03,66.4,56.3,10.1,0.0,80,56271
Olympia,Washington,47.038,-122.899,2025-08-04,66.0,52.3,7.6,0.0,82,56271
Olympia,Washington,47.038,-122.899,2025-08-05,70.3,54.7,6.7,0.0,79,56271
Olympia,Washington,47.038,-122.899,2025-08-06,66.9,59.7,8.3,0.31,84,56271
Olympia,Washington,47.038,-122.899,2025-08-07,68.4,56.1,7.4,0.0,79,56271
Olympia,Washington,47.038,-122.899,2025-08-08,73.0,52.7,5.8,0.0,79,56271
Olympia,Washington,47.038,-122.899,2025-08-09,76.8,59.7,7.4,0.0,63,56271
Helena,Montana,46.593,-112.035,2025-08-03,80.6,54.3,11.0,0.0,42,34729
Helena,Montana,46.593,-112.035,2025-08-04,70.5,51.4,18.1,0.41,59,34729
Helena,Montana,46.593,-112.035,2025-08-05,75.6,46.9,16.8,0.2,57,34729
Helena,Montana,46.593,-112.035,2025-08-06,81.3,54.1,11.6,0.0,39,34729
Helena,Montana,46.593,-112.035,2025-08-07,73.2,54.5,12.8,0.0,54,34729
Helena,Montana,46.593,-112.035,2025-08-08,61.2,46.2,17.0,0.0,60,34729
Helena,Montana,46.593,-112.035,2025-08-09,76.8,48.4,10.5,0.0,51,34729
Richmond,Virginia,37.554,-77.461,2025-08-03,81.9,70.9,10.3,0.0,59,233655
Richmond,Virginia,37.554,-77.461,2025-08-04,87.4,67.3,9.2,0.0,60,233655
Richmond,Virginia,37.554,-77.461,2025-08-05,74.3,68.7,8.5,0.0,72,233655
Richmond,Virginia,37.554,-77.461,2025-08-06,76.6,71.2,8.3,0.0,76,233655
Richmond,Virginia,37.554,-77.461,2025-08-07,67.6,63.7,11.6,8.54,97,233655
Richmond,Virginia,37.554,-77.461,2025-08-08,80.1,69.1,9.6,0.0,79,233655
Richmond,Virginia,37.554,-77.461,2025-08-09,86.2,68.5,6.3,0.0,74,233655
Frankfort,Kentucky,38.201,-84.873,2025-08-03,69.1,63.7,10.1,0.0,82,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-04,81.3,68.2,6.5,0.0,75,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-05,77.9,68.5,4.0,5.36,86,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-06,85.1,66.7,4.7,0.0,81,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-07,84.7,68.2,2.5,0.08,82,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-08,85.5,68.7,5.1,0.0,77,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-09,87.8,69.3,7.2,0.0,71,28610
Salem,Oregon,44.943,-123.034,2025-08-03,68.4,58.1,11.9,0.0,67,180406
Salem,Oregon,44.943,-123.034,2025-08-04,72.7,55.9,8.5,0.0,66,180406
Salem,Oregon,44.943,-123.034,2025-08-05,78.8,51.6,11.0,0.0,68,180406
Salem,Oregon,44.943,-123.034,2025-08-06,64.8,58.5,9.8,0.32,89,180406
Salem,Oregon,44.943,-123.034,2025-08-07,76.6,52.7,12.3,0.0,72,180406
Salem,Oregon,44.943,-123.034,2025-08-08,79.9,49.3,6.7,0.0,67,180406
Salem,Oregon,44.943,-123.034,2025-08-09,81.9,55.0,10.5,0.0,61,180406
